Designator,Footprint,Quantity,Value,LCSC Part #
A1,Electrosmith_Daisy_Seed,1,Electrosmith_Daisy_Seed_Rev4,
"C1, C10, C11, C12, C14, C15, C16, C18, C23, C3, C4, C5, C6, C7, C8, C9",0402,16,0.1uF,C1525
"C13, C2",0603,2,10uF,C19702
"C17, C19",0603,2,.47uF,C1623
"C20, C21",CP_Radial_D5.0mm_P2.00mm,2,220UF PANASONIC D8,
D1,D_SOD-323,1,1N4148WS,C2128
J1,CUI_SJ1-3553NG,1,Midi_In,
J10,CUI_SJ1-3553NG,1,Clock_Out,
J11,CUI_SJ1-3553NG,1,Line_In,
J12,CUI_SJ1-3553NG,1,Line_Out,
"J15, J5, J6, J7",PinSocket_1x12_P1.27mm_Vertical,4,Conn_01x12_Socket,
J3,CUI_SJ1-3553NG,1,Midi_Out,
J4,CUI_SJ1-3553NG,1,Headphone_Out,
"LED_1, LED_10, LED_11, LED_12, LED_13, LED_14, LED_15, LED_16, LED_17, LED_18, LED_19, LED_2, LED_20, LED_21, LED_22, LED_23, LED_24, LED_25, LED_26, LED_27, LED_28, LED_29, LED_3, LED_30, LED_31, LED_32, LED_33, LED_34, LED_35, LED_36, LED_37, LED_38, LED_39, LED_4, LED_40, LED_41, LED_42, LED_5, LED_6, LED_7, LED_8, LED_9",LED_PLCC-2_3.4x3.0mm_AK,42,White,C7371926
"R1, R69",0603,2,15K,C25804
"R10, R24, R37, R38, R88, R89",0603,6,4.7K,
"R11, R93",0603,2,75k,
"R12, R16, R20, R91",0402,4,100k,C25741
"R18, R22",0603,2,75k,
"R2, R64, R70, R71",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,4,DI*,
"R23, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R7, R72, R73, R74, R75, R76, R77, R78, R79, R8, R80, R81, R9",0603,42,150R,C22808
R3,0603,1,220R,C22962
R4,0603,1,33R,C23140
R5,0603,1,10R,C22859
"R55, R65",0603,2,2.2K,
"R56, R66",0603,2,75R,
"R57, R58, R59, R60, R61",0603,5,47k,
R6,0603,1,270R,
"R62, R63, R67, R68",0603,4,100K,
"R94, R97",0603,2,22K,
"R95, R98",0603,2,33K,
"R96, R99",0603,2,10k,
RV1,Potentiometer_Bourns_PTA6043_Single_Slide,1,slider2,
RV2,Potentiometer_Bourns_PTA6043_Single_Slide,1,slider3,
RV3,Potentiometer_Bourns_PTA4543_Single_Slide,1,sliderA,
RV4,Potentiometer_Bourns_PTA6043_Single_Slide,1,slider1,
RV5,Potentiometer_Bourns_PTA6043_Single_Slide,1,slider4,
RV6,Potentiometer_Bourns_PTA4543_Single_Slide,1,sliderB,
RV7,Potentiometer_Bourns_PTA4543_Single_Slide,1,sliderC,
RV9,Potentiometer_Bourns_PTA4543_Single_Slide,1,sliderD,
SW1,Toggle Submini DPDT Prongs,1,SW_DPDT_x2,
TF1,TF-SMD_TF-CARD-H1.8,1,TF-CARD H1.8,C7529389
"U1, U9",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP6002-xSN,
"U10, U4, U5, U6",UQFN-20_3x3mm_P0.4mm,4,MPR121QR2,C91322
U2,H11L1STA_EVE,1,H11L1S(TA),
"U3, U7, U8",TSSOP-28_4.4x9.7mm_P0.65mm,3,PCA9685PW,C2678753
USBC1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
"VR1, VR2",RK10J12R0A0B,2,RK10J12R0A0B,
